company,name,revenue,profit,marketcap,listed_value,name_score,name_entropy,metric_entropy,entropy_diff,entropy_match,zeta_score,gamma_scale,growth_score,prediction
"","エムビーエス",0,0,3889,,0.936842,1.849898,0.862298,0.987600,0,0.050624,0.986009,0.265862,NO-GROW
"","Lib_Work",0,0,19006,,0.826667,2.079442,0.862298,1.217144,0,0.247403,0.942219,0.311341,NO-GROW
"","フィット",0,0,3846,,0.969231,1.560710,0.862298,0.698412,1,0.050064,0.986157,1.000000,GROW
"","ITbookホールディングス",0,0,12963,,1.103226,2.422369,0.862298,1.560071,0,0.168741,0.957841,0.556541,NO-GROW
"","インタースペース",0,0,6452,,0.920000,1.907284,0.862298,1.044986,0,0.083986,0.977441,0.283330,NO-GROW
"","ケアネット",0,0,38294,,1.012500,1.709473,0.862298,0.847175,0,0.498477,0.906560,0.403654,NO-GROW
"","FRONTEO",0,0,76822,,0.765000,1.747868,0.862298,0.885570,0,1.000000,0.886227,0.385430,NO-GROW
"","ジーエヌアイグループ",0,0,65736,,1.038710,2.050980,0.862298,1.188682,0,0.855692,0.886098,0.610500,GROW
"","トライステージ",0,0,10254,,1.063636,1.974885,0.862298,1.112587,0,0.133477,0.965631,0.416900,NO-GROW
"","イオレ",0,0,2125,,0.880000,1.676988,0.862298,0.814690,0,0.027661,0.992204,0.161214,NO-GROW
"","トランスジェニック",0,0,7312,,1.092857,1.959883,0.862298,1.097585,0,0.095181,0.974677,0.418572,NO-GROW
"","ASJ",0,0,5033,,0.310000,1.098612,0.862298,0.236314,1,0.065515,0.982122,0.000000,NO-GROW
"","メディネット",0,0,9907,,1.042105,1.695865,0.862298,0.833568,0,0.128960,0.966666,0.319965,NO-GROW
"","総医研ホールディングス",0,0,8606,,1.111765,2.606664,0.862298,1.744366,0,0.112025,0.970621,0.580256,NO-GROW
"","アマナ",0,0,3186,,0.880000,1.676988,0.862298,0.814690,0,0.041472,0.988448,0.167408,NO-GROW
"","アスカネット",0,0,23681,,1.042105,1.801951,0.862298,0.939653,0,0.308258,0.931688,0.404163,NO-GROW
"","ユナイテッド",0,0,39333,,1.042105,1.695865,0.862298,0.833568,0,0.512002,0.905186,0.421585,NO-GROW
"","フルッタフルッタ",0,0,3142,,0.680000,1.560710,0.862298,0.698412,1,0.040900,0.988602,0.707897,GROW
"","ジェイフロンティア",0,0,12964,,1.092857,2.060008,0.862298,1.197710,0,0.168754,0.957839,0.468434,NO-GROW
"","ツクルバ",0,0,8026,,0.969231,1.748155,0.862298,0.885858,0,0.104475,0.972424,0.279054,NO-GROW
