日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分
20250829,極洋,1301,水産・農林業,0.0063%,TOPIX Small 2
20250829,ニッスイ,1332,水産・農林業,0.0322%,TOPIX Mid400
20250829,マルハニチロ,1333,水産・農林業,0.0157%,TOPIX Mid400
20250829,ユキグニファクトリー,1375,水産・農林業,0.0029%,TOPIX Small 2
20250829,カネコ種苗,1376,水産・農林業,0.0013%,TOPIX Small 2
20250829,サカタのタネ,1377,水産・農林業,0.0140%,TOPIX Small 1
20250829,ホクト,1379,水産・農林業,0.0054%,TOPIX Small 2
20250829,ショーボンドホールディングス,1414,建設業,0.0216%,TOPIX Mid400
20250829,ミライト・ワン,1417,建設業,0.0290%,TOPIX Mid400
20250829,タマホーム,1419,建設業,0.0073%,TOPIX Small 1
20250829,ｒｏｂｏｔ　ｈｏｍｅ,1435,不動産業,0.0011%,TOPIX Small 2
20250829,住石ホールディングス,1514,鉱業,0.0025%,TOPIX Small 1
20250829,日鉄鉱業,1515,鉱業,0.0110%,TOPIX Small 1
20250829,三井松島ホールディングス,1518,その他製品,0.0098%,TOPIX Small 1
20250829,ＩＮＰＥＸ,1605,鉱業,0.2718%,TOPIX Mid400
20250829,石油資源開発,1662,鉱業,0.0214%,TOPIX Small 1
20250829,Ｋ＆Ｏエナジーグループ,1663,鉱業,0.0047%,TOPIX Small 1
20250829,リョーサン菱洋ホールディングス,167A,卸売業,0.0110%,TOPIX Small 1
20250829,第一カッター興業,1716,建設業,0.0011%,TOPIX Small 2
20250829,安藤・間,1719,建設業,0.0319%,TOPIX Small 1
20250829,東急建設,1720,建設業,0.0113%,TOPIX Small 1
20250829,コムシスホールディングス,1721,建設業,0.0423%,TOPIX Mid400
20250829,ビーアールホールディングス,1726,建設業,0.0016%,TOPIX Small 2
20250829,高松コンストラクショングループ,1762,建設業,0.0078%,TOPIX Small 2
20250829,東建コーポレーション,1766,建設業,0.0099%,TOPIX Small 1
20250829,ヤマウラ,1780,建設業,0.0022%,TOPIX Small 2
20250829,オリエンタル白石,1786,建設業,0.0049%,TOPIX Small 2
20250829,大成建設,1801,建設業,0.2043%,TOPIX Mid400
20250829,大林組,1802,建設業,0.1779%,TOPIX Mid400
20250829,清水建設,1803,建設業,0.1222%,TOPIX Mid400
20250829,長谷工コーポレーション,1808,建設業,0.0502%,TOPIX Mid400
20250829,松井建設,1810,建設業,0.0030%,TOPIX Small 2
20250829,鹿島建設,1812,建設業,0.2196%,TOPIX Mid400
20250829,不動テトラ,1813,建設業,0.0037%,TOPIX Small 2
20250829,鉄建建設,1815,建設業,0.0048%,TOPIX Small 2
20250829,西松建設,1820,建設業,0.0183%,TOPIX Mid400
20250829,三井住友建設,1821,建設業,0.0108%,TOPIX Small 1
20250829,大豊建設,1822,建設業,0.0026%,TOPIX Small 2
20250829,奥村組,1833,建設業,0.0193%,TOPIX Small 1
20250829,東鉄工業,1835,建設業,0.0108%,TOPIX Small 1
20250829,淺沼組,1852,建設業,0.0077%,TOPIX Small 1
20250829,戸田建設,1860,建設業,0.0291%,TOPIX Mid400
20250829,熊谷組,1861,建設業,0.0176%,TOPIX Small 1
20250829,矢作建設工業,1870,建設業,0.0067%,TOPIX Small 2
20250829,ピーエス・コンストラクション,1871,建設業,0.0030%,TOPIX Small 2
20250829,日本ハウスホールディングス,1873,建設業,0.0016%,TOPIX Small 2
20250829,大東建託,1878,不動産業,0.1206%,TOPIX Mid400
20250829,新日本建設,1879,建設業,0.0060%,TOPIX Small 2
