"SC","名称","市場","種別","日付","株価","前日比","前日比(％)","前日終値","始値","高値","安値","出来高","売買代金(千円)","時価総額(百万円)","値幅下限","値幅上限"
"1401","エムビーエス","東証マザ","建設","20220401","503","-3","-0.59","506","496","503","496","1900","946","3889","406","606"
"1431","Lib_Work","東証マザ","建設","20220401","816","-30","-3.55","846","832","832","815","49900","40954","19006","696","996"
"1436","フィット","東証マザ","建設","20220401","898","-32","-3.44","930","924","924","884","25000","22420","3846","780","1080"
"1447","ITbookホールディングス","東証マザ","建設","20220401","580","-45","-7.2","625","625","629","577","567300","336998","12963","525","725"
"2122","インタースペース","東証マザ","サービス","20220401","926","7","0.76","919","919","926","911","2700","2482","6452","769","1069"
"2150","ケアネット","東証マザ","サービス","20220401","817","-49","-5.66","866","836","838","812","1020700","838274","38294","716","1016"
"2158","FRONTEO","東証マザ","サービス","20220401","1955","-77","-3.79","2032","1990","1997","1941","1686700","3309433","76822","1532","2532"
"2160","ジーエヌアイグループ","東証マザ","医薬品","20220401","1385","-8","-0.57","1393","1395","1397","1364","298000","411504","65736","1093","1693"
"2178","トライステージ","東証マザ","サービス","20220401","336","0","0","336","335","336","331","7000","2331","10254","256","416"
"2334","イオレ","東証マザ","サービス","20220401","887","-113","-11.3","1000","955","974","880","104700","94812","2125","700","1300"
"2342","トランスジェニック","東証マザ","サービス","20220401","421","-4","-0.94","425","423","424","416","116500","49073","7312","345","505"
"2351","ASJ","東証マザ","情報通信","20220401","633","11","1.77","622","620","633","617","7800","4892","5033","522","722"
"2370","メディネット","東証マザ","サービス","20220401","51","0","0","51","50","51","50","574900","28823","9907","21","81"
"2385","総医研ホールディングス","東証マザ","サービス","20220401","329","-1","-0.3","330","326","329","320","56800","18388","8606","250","410"
"2402","アマナ","東証マザ","サービス","20220401","571","-8","-1.38","579","572","572","570","2100","1199","3186","479","679"
"2438","アスカネット","東証マザ","サービス","20220401","1356","-48","-3.42","1404","1374","1425","1356","731800","1006849","23681","1104","1704"
"2497","ユナイテッド","東証マザ","サービス","20220401","1895","32","1.72","1863","1860","1909","1837","38600","72889","39333","1463","2263"
"2586","フルッタフルッタ","東証マザ","食料品","20220401","119","3","2.59","116","118","123","114","1848400","218165","3142","66","166"
"2934","ジェイフロンティア","東証マザ","食料品","20220401","2750","-124","-4.31","2874","2873","2915","2734","144700","405674","12964","2374","3375"
"2978","ツクルバ","東証マザ","不動産","20220401","701","-3","-0.43","704","700","708","687","28300","19706","8026","554","854"
"2981","ランディックス","東証マザ","不動産","20220401","2427","74","3.14","2353","2353","2427","2282","5800","13833","6863","1853","2853"
"2983","アールプランナー","東証マザ","不動産","20220401","1565","-16","-1.01","1581","1593","1593","1528","24100","37582","8332","1181","1981"
"2987","タスキ","東証マザ","不動産","20220401","953","-9","-0.94","962","955","960","928","124400","117788","11192","812","1112"
"3063","ジェイグループホールディングス","東証マザ","小売","20220401","549","1","0.18","548","550","550","545","3400","1861","5434","448","648"
"3133","海帆","東証マザ","小売","20220401","334","2","0.6","332","331","337","328","82500","27367","8396","252","412"
"3137","ファンデリー","東証マザ","小売","20220401","318","13","4.26","305","309","318","305","5500","1698","2053","225","385"
"3138","富士山マガジンサービス","東証マザ","小売","20220401","759","10","1.34","749","749","760","749","1100","833","2517","599","899"
